,category,question,answer
12323,general_knowledge,From what is banana oil made,Petroleum
12324,general_knowledge,A cat is feline - what animal is murine,Mouse or Rat
12325,general_knowledge,Game or fly fishing is for salmon and which other fish,Trout
12326,general_knowledge,What gives piggy banks their name,Pygg - type of clay their made from
12327,entertainment_music,"From the 1970's, which song and which group “Listen to the ground: there is movement all around, There is something goin' down and I can feel it, On the waves of the air, there is dancin' out there”?",The Bee Gees / Night Fever
12328,general_knowledge,Cavalier in French Springer in German what in English,Chess Knight
12329,general_knowledge,Crossword Clues: On the sheltered side (4),Alee
12330,general_knowledge,"From Which Country Does The Energy Drink ""Red Bull"" Originate",Thailand
12331,art,Which Poet Preceded Ted Hughes As Poet Laureate ,Sir John Betjeman 
12332,general_knowledge,In the first voyager program who were the Maquis fighting,The Cardassians
12333,general_knowledge,What symbolises the election of a new Pope,White smoke
12334,general_knowledge,What is the fear of parasites known as,Parasitophobia
12335,general_knowledge,What is the world's highest waterfall,Angel falls
12336,general_knowledge,Who was the Chief Designer of the Supermarine Spitfire,Reginald mitchell
12337,general_knowledge,What is the oldest college in the U.S.,Harvard
12338,geography,What is the capital of Guyana,Georgetown
12339,general_knowledge,Two former members of what group formed hot tuna,Jefferson airplane
12340,general_knowledge,"What was the name of the cheaply made, ultra popular car prevalent in East Germany during the Cold War years?",Trabant
12341,general_knowledge,In Mississippi it is still legal to kill who,Ones Servant
12342,entertainment_music,"Which 1983 Song, Shot To The Top Of The UK Charts After Mike Reid Refused To Play It On His Radio Show Due To It’s Sexual Content",Frankie / Relax
12343,general_knowledge,What does the entire economy of the island of Nauru depend on,Bird shit -  Guano fertiliser
12344,general_knowledge,High speed passenger train is called a,Bullet train
12345,history,Who starred in the 1954 Musical remake of 'A star is born' ? ,Judy Garland 
12346,general_knowledge,Who plays dawson leary on 'dawson's creek',James van der beek
12347,general_knowledge,U.S. captials Delaware,Dover
12348,general_knowledge,Which is the largest of the National Parks of England and Wales,Lake district
12349,entertainment_music,Elton John Is His Stage Name What Is His Real One,Reginald Dwight
12350,general_knowledge,What countries language is Magyar,Hungary
12351,general_knowledge,In what country was fashion designer Yves St Laurent born,Algeria
12352,entertainment_music,Which City Not State Is The Home Of Motown Records,Detroit
12353,general_knowledge,"Which foodstuff has types called ""blanket"" and ""honeycomb""",Tripe
12354,general_knowledge,"What actress/dancer/politician went ""out on a limb""",Shirley maclaine
12355,general_knowledge,Which is the highest peak in the Andes,Aconcagua
12356,general_knowledge,J K Rowling wrote the Harry Potter series what do the JK mean,Joanne Kathleen
12357,entertainment_film,Who wrote the opera 'The Masked Ball'?,Giuseppe Verdi
12358,food,What type of pastry would be used for a jam roly poly? ,Suet 
12359,science_nature,What Is The Largest Species Of Deer? ,The Moose 
12360,general_knowledge,"Who was the 4th child on ""Growing Pains?""",Chrissy
12361,science_nature,What Is Hydrophobia Better Known As ,Rabies 
12362,entertainment_music,"The Film ""Chances Are"" Featured A Song Called ""After All"" By Which Male Singer",Peter Cetera
12363,general_knowledge,Who was Speaker of the House of Commons immediately prior to Betty Boothroyd,Bernard weatherill
12364,general_knowledge,"Who said ""Iv'e never had an accident worth talking about""",Captain E J Smith of the Titanic
12365,general_knowledge,Coco Channel a fashion star had what real first name,Gabrielle
12366,general_knowledge,At which Paris terminus does the Eurostar train from London arrive,Gare du nord
12367,general_knowledge,What is the smallest lake in the world,Vanern
12368,general_knowledge,"One gram of 2,4 d, a common household herbicide can contaminate __________ litres of drinking water",Ten million
12369,general_knowledge,What country has two AK47 assault rifles on it's flag,Mozambique
12370,general_knowledge,Who invented painting by numbers?,Palmer paint company
12371,general_knowledge,Who formulated the laws which first explained the movements of the planets properly,Kepler
12372,general_knowledge,Rod Temperton From Cleethorpes Is One Of The Richest Men In Music But What Is His Claim To Fame,He Wrote Micheal Jacksons Thriller
12373,general_knowledge,What is the food of the secretary bird,Snakes
12374,entertainment_music,Which Pink Creation From Noel's House Party Had A UK No.1 In 1993,Mr Blobby
12375,general_knowledge,"What word is used in a balance sheet to mean ""What a company owes to its suppliers and lenders""",Liabilities
12376,food,In which country did edam cheese originate ,Holland 
12377,general_knowledge,When was the Berlin wall erected,1961
12378,general_knowledge,Who protects themselves from from blowing dust with three eyelids,Camels
12379,general_knowledge,What's the smallest known planet in our solar system,Pluto
12380,general_knowledge,Polite society man does it 2 legs woman sitting dog 3 legs what,Shake hands
12381,general_knowledge,He assassinated john lennon on december 8 1980,Mark chapman
12382,general_knowledge,Kong what member of ac/dc died in 1980,Bon scott
12383,general_knowledge,What animal is represented by the constellation Lacerta,Lizard
12384,general_knowledge,Name Tina Turners solo comeback album of 1984,Private Dancer
12385,history,"What movie featured Reece's Pieces as part of the story, because the director couldn't obtain the rights to use M&M's? ",E.T. 
12386,celebrities,Whose Nickname Was Satchmo ,Louis Armstrong 
12387,general_knowledge,In fiction who's mother Monique Delacroix died when he was 11,James Bond
12388,general_knowledge,"What served as a cowboy's wash cloth, dust mask & water filter",A bandana bandana
12389,general_knowledge,Short actors stand on what wooden object - to appear bigger,Pancake
12390,history,"Electric Christmas tree lights were first used in what year? 1878,1895, 1903, 1907 ",1895 
12391,general_knowledge,Which acid was first prepared from distilled red ants,Formic acid
12392,general_knowledge,To grill meat on a rack over charcoal,Charbroil
12393,general_knowledge,A charm worn against evil,Amulet
12394,science_nature,"How many Earths would it take to match the size of the sun? Over 1000, 100,000 or 1,000,000?","1,000,000"
12395,general_knowledge,What is the name of the colourful cathedral on Red Square in Moscow,St basil's
12396,general_knowledge,"An electrical device for removing suspended impurities such as dust, fumes, or mist, from air or other gases",Electrostatic precipitator
12397,general_knowledge,Which Country Scored The First Ever “ Golden Goal ” At The World Cup Finals,France
12398,general_knowledge,Picea is the generic name for which tree,Spruce
12399,general_knowledge,The sacred book of which religion is divided into 114 chapters called Suras,Islam
12400,entertainment_music,The Label Is Bludgen Riffola Name The Band,Def Leopard
12401,entertainment_film,Secret Identities: Jim Corrigan,The spectre
12402,general_knowledge,What was the best chariot route from rome to brindisi,Via appia
12403,general_knowledge,Ronald MacDonald is worldwide except Japan what's he there,Donald MacDonald
12404,geography,"There are approximately 320,000 _____________ in the world.",Icebergs
12405,general_knowledge,"In 1909, which U.S. President became the first to be depicted on a coin?",Abraham Lincoln
12406,science_nature,What Is Blackwater Fever A Complication Of ,Malaria 
12407,general_knowledge,What show was Family Matters a spin-off of?,Perfect Strangers.
12408,general_knowledge,You can who sang 'I'm a believer',Monkees
12409,general_knowledge,What element is azoth the ancient name for,Mercury
12410,general_knowledge,Which south-east Asian city is served by Kimpo International airport,Seoul
12411,general_knowledge,Who did Catherine Parr marry after the death of King Henry VIII?,Thomas Seymour
12412,general_knowledge,What is the name given to the dish of beef coated in pate and wrapped in pastry,Beef wellington
12413,general_knowledge,The assassin in The Man With the Golden Gun was played by who,Christopher
12414,food,What Does A Charcuterie Sell ,Pork Products 
12415,general_knowledge,"What was Tom Clancy's blockbuster first novel, published in 1984",The Hunt
12416,general_knowledge,Which tennis winner also won a Winter Olympics silver medal,Jaraslav Drobny
12417,general_knowledge,When was gas lighting invented,1792
12418,geography,What is the capital of Kuwait,Kuwait city
12419,general_knowledge,What insects do isopterpophobics fear,Termites
12420,general_knowledge,What international award was worth 365 dollars mineral value in 1988,Olympic
12421,general_knowledge,"Until the dinner plate was introduced in the 15th century, it was customary to eat on what",Bread
12422,general_knowledge,What port lies at the mouth of the Swan river,Freemantle (Perth)
12423,general_knowledge,"Which group of Atlantic Islands were, for a time, known as the Flemish Islands, after Faial was gifted to Isabella of Burgundy in 1466",The azores
12424,entertainment_music,"Who had his first UK top 40 hit single in 2004 with Magic, thirty years after his death at the age of 26?",Nick Drake
12425,general_knowledge,On the body what is a calcaneium,Heel bone
12426,history,What Christmas delicacy has blue veins running through it and tastes cheesy'? ,Stilton Cheese 
12427,sports,In Which English City Will You Find Lords Cricket Ground ,London 
12428,general_knowledge,"Which 1978 film from the book of the same name by Ira Levin, tell of the cloning of Adolf Hitler",The boys from brazil
12429,general_knowledge,In the USA a police 10-31 is the code for what,Crime in progress
12430,science_nature,What is the only dog that doesn't have a pink tongue,Chow
12431,science_nature," Of all known forms of animals life ever to inhabit the Earth, only about __________ still exist today.",10%
12432,general_knowledge,Whose novels include 'The Cement Garden' and 'Comfort of Stangers',Ian mcewan
12433,general_knowledge,Name either of the songs which were big hits for Shirley Ross and Bob Hope in two musical films in 1937/8. Thanks for the memory,Two sleepy people
12434,general_knowledge,"Serotine, Leislers and Noctule are all varieties of which nianinial",Bat
